0,regularLoss
5,regularLoss
6,regularLoss
8,regularLoss
9,regularLoss
10,regularLoss
11,regularLoss
14,regularLoss
15,regularLoss
16,regularLoss
17,regularLoss
18,regularLoss
21,regularLoss
23,regularLoss
24,regularLoss
25,regularLoss
26,regularLoss
27,regularLoss
28,regularLoss
30,regularLoss
31,regularLoss
32,regularLoss
35,regularLoss
36,regularLoss
37,regularLoss
38,regularLoss
39,regularLoss
40,regularLoss
41,regularLoss
43,regularLoss
45,regularLoss
46,regularLoss
48,regularLoss
49,regularLoss
50,regularLoss
51,regularLoss
55,regularLoss
56,regularLoss
57,regularLoss
58,regularLoss
60,regularLoss
61,regularLoss
62,regularLoss
64,regularLoss
65,regularLoss
66,regularLoss
68,regularLoss
69,regularLoss
71,regularLoss
72,regularLoss
73,regularLoss
77,regularLoss
78,lossAtNoMoves
80,regularLoss
81,regularLoss
83,regularLoss
84,regularLoss
85,regularLoss
87,regularLoss
89,regularLoss
90,regularLoss
94,regularLoss
95,regularLoss
96,regularLoss
97,regularLoss
98,regularLoss
99,regularLoss
100,regularLoss
101,regularLoss
102,regularLoss
103,regularLoss
107,regularLoss
108,regularLoss
109,regularLoss
110,regularLoss
112,regularLoss
113,regularLoss
114,regularLoss
115,regularLoss
116,regularLoss
117,regularLoss
118,regularLoss
119,regularLoss
120,regularLoss
121,regularLoss
123,regularLoss
125,regularLoss
127,regularLoss
128,regularLoss
130,regularLoss
132,regularLoss
133,regularLoss
135,regularLoss
136,regularLoss
138,regularLoss
139,regularLoss
140,regularLoss
141,regularLoss
144,regularLoss
145,regularLoss
148,regularLoss
149,regularLoss
150,regularLoss
151,regularLoss
152,regularLoss
153,regularLoss
154,regularLoss
155,regularLoss
156,regularLoss
158,regularLoss
159,regularLoss
160,regularLoss
162,regularLoss
163,regularLoss
165,regularLoss
166,regularLoss
167,regularLoss
169,regularLoss
170,regularLoss
171,regularLoss
173,regularLoss
174,regularLoss
175,regularLoss
176,regularLoss
178,regularLoss
179,regularLoss
180,regularLoss
183,regularLoss
184,regularLoss
185,regularLoss
186,regularLoss
187,regularLoss
189,regularLoss
191,regularLoss
192,regularLoss
194,regularLoss
198,regularLoss
200,regularLoss
201,regularLoss
204,regularLoss
206,regularLoss
207,regularLoss
208,regularLoss
209,regularLoss
211,regularLoss
212,regularLoss
213,regularLoss
214,regularLoss
217,regularLoss
218,regularLoss
219,regularLoss
224,regularLoss
226,regularLoss
229,regularLoss
231,lossAtNoMoves
233,regularLoss
234,regularLoss
235,regularLoss
236,regularLoss
237,regularLoss
241,regularLoss
243,regularLoss
244,regularLoss
245,regularLoss
247,regularLoss
250,regularLoss
252,regularLoss
255,regularLoss
257,regularLoss
259,regularLoss
260,regularLoss
261,regularLoss
262,regularLoss
264,regularLoss
265,regularLoss
269,regularLoss
270,regularLoss
272,regularLoss
273,regularLoss
274,regularLoss
275,regularLoss
276,regularLoss
278,regularLoss
280,regularLoss
282,regularLoss
283,regularLoss
284,regularLoss
285,regularLoss
286,regularLoss
289,regularLoss
290,regularLoss
292,regularLoss
294,regularLoss
295,regularLoss
296,regularLoss
298,regularLoss
299,regularLoss
301,regularLoss
303,regularLoss
304,regularLoss
308,regularLoss
309,regularLoss
310,regularLoss
311,regularLoss
313,regularLoss
315,regularLoss
316,regularLoss
317,regularLoss
319,regularLoss
320,regularLoss
321,regularLoss
322,regularLoss
323,regularLoss
324,regularLoss
325,regularLoss
326,regularLoss
328,regularLoss
329,regularLoss
330,regularLoss
331,regularLoss
332,regularLoss
333,regularLoss
334,regularLoss
337,regularLoss
340,regularLoss
341,regularLoss
343,regularLoss
346,regularLoss
347,regularLoss
349,regularLoss
353,regularLoss
354,regularLoss
355,regularLoss
356,regularLoss
358,regularLoss
359,regularLoss
360,regularLoss
363,regularLoss
367,regularLoss
370,regularLoss
371,regularLoss
373,regularLoss
374,regularLoss
375,regularLoss
376,regularLoss
377,regularLoss
378,regularLoss
379,regularLoss
381,regularLoss
383,regularLoss
387,regularLoss
389,regularLoss
390,regularLoss
391,regularLoss
393,regularLoss
394,regularLoss
395,regularLoss
397,regularLoss
398,regularLoss
400,regularLoss
401,regularLoss
402,regularLoss
403,regularLoss
405,regularLoss
406,regularLoss
410,regularLoss
412,regularLoss
415,regularLoss
417,regularLoss
418,regularLoss
419,regularLoss
420,regularLoss
421,regularLoss
422,regularLoss
423,regularLoss
424,regularLoss
425,regularLoss
426,regularLoss
428,regularLoss
429,regularLoss
430,regularLoss
431,regularLoss
432,regularLoss
434,regularLoss
435,regularLoss
438,regularLoss
439,regularLoss
441,regularLoss
443,regularLoss
444,regularLoss
446,regularLoss
450,regularLoss
452,regularLoss
